"DATE","WEIGHT"
"2022-10-22","114.8"
"2022-10-30","113.5"
"2022-11-06","113.8"
"2022-11-13","113.8"
"2022-11-20","113.3"
"2022-11-27","113.0"
"2022-12-04","113.4"
"2022-12-11","113.2"
"2022-12-20","112.3"
